candidate_id,resume_text,job_role
1,"Candidate with skills: Python, SQL, TensorFlow, Machine Learning, Communication. Qualification: Master's in Data Science. Experience level: Senior.",Data Scientist
2,"Candidate with skills: HTML, CSS, JavaScript, React, Teamwork. Qualification: Bachelor's in Computer Science. Experience level: Mid.",Frontend Developer
3,"Candidate with skills: Java, Spring, SQL, REST APIs, Problem Solving. Qualification: Bachelor's in Software Engineering. Experience level: Senior.",Backend Developer
4,"Candidate with skills: Figma, Adobe XD, UI/UX Design, Creativity. Qualification: Bachelor's in Design. Experience level: Entry.",Designer
5,"Candidate with skills: Python, Django, JavaScript, React, Agile. Qualification: Master's in Computer Science. Experience level: Mid.",Full Stack Python Developer
6,"Candidate with skills: Financial Modeling, Excel, Communication, Risk Analysis. Qualification: Master's in Finance. Experience level: Senior.",Finance
7,"Candidate with skills: C++, Unreal Engine, Game Design, Teamwork. Qualification: Bachelor's in Game Development. Experience level: Mid.",Game Developer
8,"Candidate with skills: Kubernetes, Docker, AWS, CI/CD, Linux. Qualification: Bachelor's in Computer Science. Experience level: Senior.",DevOps Engineer
9,"Candidate with skills: Java, Spring Boot, Hibernate, Microservices. Qualification: Bachelor's in Software Engineering. Experience level: Mid.",Full Stack Java Developer
10,"Candidate with skills: Solidity, Ethereum, JavaScript, Blockchain. Qualification: Bachelor's in Computer Science. Experience level: Entry.",Blockchain Developer
11,"Candidate with skills: Marketing Strategy, SEO, Content Creation, Analytics. Qualification: Bachelor's in Marketing. Experience level: Mid.",Marketing
12,"Candidate with skills: Recruitment, HR Policies, Communication, Leadership. Qualification: Master's in Human Resources. Experience level: Senior.",HR
13,"Candidate with skills: C#, .NET, SQL, ASP.NET. Qualification: Bachelor's in Computer Science. Experience level: Mid.",C# Developer
14,"Candidate with skills: PHP, Laravel, MySQL, JavaScript. Qualification: Bachelor's in Information Technology. Experience level: Entry.",PHP Developer
15,"Candidate with skills: Swift, iOS Development, Objective-C, UI/UX. Qualification: Bachelor's in Computer Science. Experience level: Mid.",Mobile Developer
16,"Candidate with skills: Network Security, Penetration Testing, Firewalls. Qualification: Bachelor's in Cybersecurity. Experience level: Senior.",Cybersecurity Engineer
17,"Candidate with skills: Agile, Scrum, Project Management, Leadership. Qualification: Master's in Business Administration. Experience level: Senior.",Software Project Manager
18,"Candidate with skills: C++, Unity, Game Design, 3D Modeling. Qualification: Bachelor's in Game Development. Experience level: Entry.",Video Game Designer
19,"Candidate with skills: Python, Pandas, SQL, Data Visualization. Qualification: Master's in Data Science. Experience level: Mid.",Data Analyst
20,"Candidate with skills: Kubernetes, Helm, AWS, Terraform. Qualification: Bachelor's in Computer Science. Experience level: Senior.",Kubernetes Operations Engineer
21,"Candidate with skills: HTML, CSS, JavaScript, Node.js, MongoDB. Qualification: Bachelor's in Computer Science. Experience level: Mid.",Web Developer
22,"Candidate with skills: Python, Machine Learning, Deep Learning, NLP. Qualification: PhD in Artificial Intelligence. Experience level: Senior.",AIML
23,"Candidate with skills: Java, Android Development, Kotlin, REST APIs. Qualification: Bachelor's in Software Engineering. Experience level: Mid.",Mobile Developer
24,"Candidate with skills: Python, Flask, JavaScript, PostgreSQL. Qualification: Bachelor's in Computer Science. Experience level: Entry.",Full Stack Python Developer
25,"Candidate with skills: Java, Spring, Angular, Microservices. Qualification: Master's in Software Engineering. Experience level: Senior.",Full Stack Java Developer
26,"Candidate with skills: Adobe Illustrator, Photoshop, UI/UX, Prototyping. Qualification: Bachelor's in Graphic Design. Experience level: Mid.",Designer
27,"Candidate with skills: SQL, Tableau, Data Analysis, Statistics. Qualification: Bachelor's in Statistics. Experience level: Entry.",Data Analyst
28,"Candidate with skills: C#, Unity, Game Physics, 3D Modeling. Qualification: Bachelor's in Game Development. Experience level: Mid.",Game Developer
29,"Candidate with skills: AWS, Jenkins, Docker, Ansible. Qualification: Bachelor's in Computer Science. Experience level: Senior.",DevOps Engineer
30,"Candidate with skills: PHP, WordPress, MySQL, JavaScript. Qualification: Bachelor's in Information Technology. Experience level: Entry.",PHP Developer
31,"Candidate with skills: Python, TensorFlow, Keras, Data Science. Qualification: Master's in Data Science. Experience level: Mid.",Data Scientist
32,"Candidate with skills: Blockchain, Smart Contracts, Solidity, Web3. Qualification: Bachelor's in Computer Science. Experience level: Senior.",Blockchain Developer
33,"Candidate with skills: React, JavaScript, HTML, CSS, Redux. Qualification: Bachelor's in Computer Science. Experience level: Mid.",Frontend Developer
34,"Candidate with skills: Java, Hibernate, SQL, REST APIs. Qualification: Bachelor's in Software Engineering. Experience level: Senior.",Backend Developer
35,"Candidate with skills: Digital Marketing, Google Analytics, SEO, PPC. Qualification: Bachelor's in Marketing. Experience level: Mid.",Marketing
36,"Candidate with skills: HR Management, Recruitment, Employee Relations. Qualification: Master's in Human Resources. Experience level: Senior.",HR
37,"Candidate with skills: C#, .NET Core, Azure, SQL Server. Qualification: Bachelor's in Computer Science. Experience level: Mid.",C# Developer
38,"Candidate with skills: Swift, iOS, Xcode, Core Data. Qualification: Bachelor's in Computer Science. Experience level: Entry.",Mobile Developer
39,"Candidate with skills: Network Security, Ethical Hacking, SIEM. Qualification: Master's in Cybersecurity. Experience level: Senior.",Cybersecurity Engineer
40,"Candidate with skills: Agile, JIRA, Stakeholder Management. Qualification: Master's in Business Administration. Experience level: Mid.",Software Project Manager
41,"Candidate with skills: Python, R, SQL, Machine Learning. Qualification: Master's in Data Science. Experience level: Senior.",Data Scientist
42,"Candidate with skills: Figma, Sketch, UI/UX, Wireframing. Qualification: Bachelor's in Design. Experience level: Entry.",Designer
43,"Candidate with skills: Kubernetes, Docker, GCP, CI/CD. Qualification: Bachelor's in Computer Science. Experience level: Mid.",Kubernetes Operations Engineer
44,"Candidate with skills: JavaScript, Node.js, Express, MongoDB. Qualification: Bachelor's in Information Technology. Experience level: Entry.",Web Developer
